41.1129 	EXP 	pos0: autoDraw = False
41.1129 	EXP 	pos45: autoDraw = False
41.1129 	EXP 	pos90: autoDraw = False
41.1129 	EXP 	pos135: autoDraw = False
41.1129 	EXP 	pos180: autoDraw = False
41.1129 	EXP 	pos225: autoDraw = False
41.1129 	EXP 	pos270: autoDraw = False
41.1129 	EXP 	pos315: autoDraw = False
43.0797 	EXP 	response: autoDraw = True
44.5291 	DATA 	Mouse: Left button down, pos=(957,956)
44.5361 	EXP 	New trial (rep=0, index=3): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [0, 0, 0]), ('Color135', [0, 0, 0]), ('Color180', [1, -1, -1]), ('Color225', [-1, 1, -1]), ('Color270', [-1, -1, 1]), ('Color315', [0, 0, 0]), ('Cueresp', [-1, -1, 1]), ('target_angle', 270), ('load', 3), ('delay', 2), ('trial', 3)])
44.5483 	EXP 	pos0: autoDraw = False
44.5483 	EXP 	pos45: autoDraw = False
44.5483 	EXP 	pos90: autoDraw = False
44.5483 	EXP 	pos135: autoDraw = False
44.5483 	EXP 	pos180: autoDraw = False
44.5483 	EXP 	pos225: autoDraw = False
44.5483 	EXP 	pos270: autoDraw = False
44.5483 	EXP 	pos315: autoDraw = False
44.5483 	EXP 	response: autoDraw = False
44.5483 	EXP 	text: autoDraw = False
44.5483 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos180: fillColor = '[ 1. -1. -1.] (rgb)'
44.5483 	EXP 	pos180: lineColor = '[ 1. -1. -1.] (rgb)'
44.5483 	EXP 	pos225: fillColor = '[-1.  1. -1.] (rgb)'
44.5483 	EXP 	pos225: lineColor = '[-1.  1. -1.] (rgb)'
44.5483 	EXP 	pos270: fillColor = '[-1. -1.  1.] (rgb)'
44.5483 	EXP 	pos270: lineColor = '[-1. -1.  1.] (rgb)'
44.5483 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
44.5483 	EXP 	response: fillColor = '[-1. -1.  1.] (rgb)'
44.5483 	EXP 	response: lineColor = '[-1. -1.  1.] (rgb)'
44.5483 	EXP 	pos0: autoDraw = True
44.5483 	EXP 	pos45: autoDraw = True
44.5483 	EXP 	pos90: autoDraw = True
44.5483 	EXP 	pos135: autoDraw = True
44.5483 	EXP 	pos180: autoDraw = True
44.5483 	EXP 	pos225: autoDraw = True
44.5483 	EXP 	pos270: autoDraw = True
44.5483 	EXP 	pos315: autoDraw = True
44.5483 	EXP 	text: autoDraw = True
44.6477 	DATA 	Mouse:  Left button up, pos=(957,957)
49.5600 	EXP 	pos0: autoDraw = False
49.5600 	EXP 	pos45: autoDraw = False
49.5600 	EXP 	pos90: autoDraw = False
49.5600 	EXP 	pos135: autoDraw = False
49.5600 	EXP 	pos180: autoDraw = False
49.5600 	EXP 	pos225: autoDraw = False
49.5600 	EXP 	pos270: autoDraw = False
49.5600 	EXP 	pos315: autoDraw = False
51.5432 	EXP 	response: autoDraw = True
53.2924 	DATA 	Mouse: Left button down, pos=(974,147)
53.2953 	EXP 	New trial (rep=0, index=4): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [0, 0, 0]), ('Color135', [-1, 1, 1]), ('Color180', [-1, -1, 1]), ('Color225', [1, 1, -1]), ('Color270', [0, 0, 0]), ('Color315', [0, 0, 0]), ('Cueresp', [-1, 1, 1]), ('target_angle', 135), ('load', 3), ('delay', 2), ('trial', 4)])
53.3092 	EXP 	pos0: autoDraw = False
53.3092 	EXP 	pos45: autoDraw = False
53.3092 	EXP 	pos90: autoDraw = False
53.3092 	EXP 	pos135: autoDraw = False
53.3092 	EXP 	pos180: autoDraw = False
53.3092 	EXP 	pos225: autoDraw = False
53.3092 	EXP 	pos270: autoDraw = False
53.3092 	EXP 	pos315: autoDraw = False
53.3092 	EXP 	response: autoDraw = False
53.3092 	EXP 	text: autoDraw = False
53.3092 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos135: fillColor = '[-1.  1.  1.] (rgb)'
53.3092 	EXP 	pos135: lineColor = '[-1.  1.  1.] (rgb)'
53.3092 	EXP 	pos180: fillColor = '[-1. -1.  1.] (rgb)'
53.3092 	EXP 	pos180: lineColor = '[-1. -1.  1.] (rgb)'
53.3092 	EXP 	pos225: fillColor = '[ 1.  1. -1.] (rgb)'
53.3092 	EXP 	pos225: lineColor = '[ 1.  1. -1.] (rgb)'
53.3092 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
53.3092 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
